ma tanbeta expm2 expm1 exp expp1 expp2 obs
150 40.0 0.15685427811053643 0.20898792545941416 0.2930364317070831 0.4110851427474984 0.5555180127070849 0.42024253123834476
200 40.0 0.22038540412613322 0.29396803083272055 0.4088729208129578 0.5766993058629573 0.7771485303395225 0.578692923827914
250 40.0 0.27427797466692055 0.36732691281822294 0.5124904694302356 0.7187850144788595 0.9712433738040985 0.6819982249771818
300 40.0 0.38716800910802757 0.516405143376368 0.7181853361933704 1.012976416812465 1.3651860980805632 1.0238442907523395
350 40.0 0.48769638575436447 0.6531857953465185 0.9113673605845513 1.278247434199507 1.7274200557537305 1.22805802309369
400 40.0 0.6210975297956142 0.8318172539903288 1.1605583074411718 1.6324607873948016 2.20291244855533 1.605035226762084
500 40.0 1.0112703794136844 1.3544301211693983 1.889643361478997 2.665467022618367 3.5921251531408585 2.795827864325461
50 45.0 0.1002437625947185 0.1336306661266794 0.18736530937339263 0.2627765243162298 0.3551303470215545 0.25330859644895726
100 45.0 0.12693575928542994 0.16997334521729732 0.23712537618491922 0.3334994256160075 0.45013630733408394 0.32772200649285804
150 45.0 0.14512341955068164 0.19335808211810473 0.27112074681375903 0.3803408001403414 0.513971787044524 0.38881332347827136
200 45.0 0.20335005376877935 0.2712448908001317 0.3772678629131302 0.5321216045166578 0.7170765053951693 0.5339611198056846
250 45.0 0.25521217977857613 0.34179303761272817 0.4768658875284112 0.6688203475328103 0.9037296517339979 0.6345907060634943
300 45.0 0.35891023885305423 0.4787148963602609 0.6657679986209871 0.939043513817874 1.2655468866598687 0.9491181871891877
350 45.0 0.4575687803367575 0.6128350269557574 0.8550673406700988 1.1992832764806356 1.620708110883134 1.15219433283389
400 45.0 0.5713988668743135 0.7652573284794494 1.0676933492742728 1.5018353791249068 2.0266409324507406 1.4766043429073188
500 45.0 0.9395707197817572 1.2584002357302744 1.7556665451874653 2.4764838563234477 3.337441385002798 2.597602038332401
50 50.0 0.09445247525251979 0.12591054903173515 0.17654083195499967 0.24759538666029213 0.33461373999981325 0.23867444036469374
100 50.0 0.12037099601821043 0.1611827980982633 0.22486191340605008 0.3162517659238338 0.4268565135843662 0.310773138796356
150 50.0 0.1377824990226233 0.1835772602584663 0.25740637967694713 0.3611016477274994 0.4879730471165393 0.3691455970924041
200 50.0 0.19282327234025193 0.2572034109670137 0.3577379131575727 0.5045753721929949 0.6799557498314147 0.506319661663178
250 50.0 0.2408853114405057 0.3226057721264366 0.45009602571592194 0.6312747215002339 0.8529969016558604 0.5989666323918426
300 50.0 0.3393675489810716 0.4526488337520632 0.6295168803321398 0.8879125228896575 1.1966377621849527 0.8974386295277227
350 50.0 0.43131761929831636 0.577676092006627 0.8060113048930896 1.13047924138359 1.5277265276907914 1.0860918357261518
400 50.0 0.5431926322709385 0.7274815662398101 1.0149882935942838 1.427699563506351 1.9265988901726234 1.403714018955088
500 50.0 0.8881690447926684 1.1895561577259863 1.6596182124276873 2.341001326250532 3.154857920282978 2.45549342115841
